School Year,NCES LEA ID,LEA,Data Description,Value,Population,Subgroup
2018-2019,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students
2018-2019,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,107,Homeless Students,All Students
2018-2019,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2018-2019,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,38,Homeless Students,All Students
2018-2019,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2018-2019,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,89,Homeless Students,All Students
2018-2019,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students
2018-2019,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students
2018-2019,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,552,Homeless Students,All Students
2018-2019,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,240,Homeless Students,All Students
2018-2019,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,74,Homeless Students,All Students
2018-2019,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,162,Homeless Students,All Students
2018-2019,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students
2018-2019,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2018-2019,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,49,Homeless Students,All Students
2018-2019,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,930,Homeless Students,All Students
2018-2019,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,85,Homeless Students,All Students
2018-2019,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,70,Homeless Students,All Students
2018-2019,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,73,Homeless Students,All Students
2018-2019,5103950,WEST POINT PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2018-2019,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,430,Homeless Students,All Students
2018-2019,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,240,Homeless Students,All Students
2018-2019,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,255,Homeless Students,All Students
2018-2019,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2018-2019,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,207,Homeless Students,All Students
2010-2011,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,213,Homeless Students,All Students
2010-2011,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,282,Homeless Students,All Students
2010-2011,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,152,Homeless Students,All Students
2010-2011,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,48,Homeless Students,All Students
2010-2011,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,20,Homeless Students,All Students
2010-2011,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students
2010-2011,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,248,Homeless Students,All Students
2010-2011,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,151,Homeless Students,All Students
2010-2011,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2010-2011,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students
2010-2011,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,110,Homeless Students,All Students
2010-2011,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,294,Homeless Students,All Students
2010-2011,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,69,Homeless Students,All Students
2010-2011,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,70,Homeless Students,All Students
2010-2011,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students
2010-2011,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,62,Homeless Students,All Students
2010-2011,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,166,Homeless Students,All Students
2010-2011,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,779,Homeless Students,All Students
2010-2011,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students
2010-2011,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,75,Homeless Students,All Students
2010-2011,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2010-2011,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,96,Homeless Students,All Students
2010-2011,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students
2010-2011,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2010-2011,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2010-2011,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students
2010-2011,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,2262,Homeless Students,All Students
2010-2011,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students
2010-2011,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,247,Homeless Students,All Students
2010-2011,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students
2010-2011,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,50,Homeless Students,All Students
2010-2011,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2010-2011,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,141,Homeless Students,All Students
2010-2011,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,111,Homeless Students,All Students
2010-2011,5101560,GALAX CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students
2010-2011,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students
2010-2011,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students
2010-2011,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,81,Homeless Students,All Students
2010-2011,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,191,Homeless Students,All Students
2010-2011,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students
2010-2011,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,65,Homeless Students,All Students
2010-2011,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,881,Homeless Students,All Students
2010-2011,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,31,Homeless Students,All Students
2010-2011,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,34,Homeless Students,All Students
2010-2011,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,49,Homeless Students,All Students
2010-2011,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,111,Homeless Students,All Students
2010-2011,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2010-2011,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2010-2011,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,658,Homeless Students,All Students
2010-2011,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,39,Homeless Students,All Students
2010-2011,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,185,Homeless Students,All Students
2010-2011,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,117,Homeless Students,All Students
2010-2011,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2010-2011,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2010-2011,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students
2010-2011,5102430,MATHEWS CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2010-2011,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,109,Homeless Students,All Students
2010-2011,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students
2010-2011,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,860,Homeless Students,All Students
2010-2011,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,551,Homeless Students,All Students
2010-2011,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,268,Homeless Students,All Students
2010-2011,5102730,NORTHUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students
2010-2011,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,111,Homeless Students,All Students
2010-2011,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,48,Homeless Students,All Students
2010-2011,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students
2010-2011,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,294,Homeless Students,All Students
2010-2011,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students
2010-2011,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students
2010-2011,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,152,Homeless Students,All Students
2010-2011,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students
2010-2011,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2010-2011,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,388,Homeless Students,All Students
2010-2011,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,77,Homeless Students,All Students
2010-2011,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students
2010-2011,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,1185,Homeless Students,All Students
2010-2011,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2010-2011,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,400,Homeless Students,All Students
2010-2011,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,74,Homeless Students,All Students
2010-2011,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2010-2011,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,60,Homeless Students,All Students
2010-2011,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2010-2011,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students
2010-2011,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2010-2011,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,20,Homeless Students,All Students
2010-2011,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2010-2011,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2010-2011,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,438,Homeless Students,All Students
2010-2011,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,373,Homeless Students,All Students
2010-2011,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,97,Homeless Students,All Students
2010-2011,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,165,Homeless Students,All Students
2010-2011,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2010-2011,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students
2010-2011,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students
2010-2011,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,762,Homeless Students,All Students
2010-2011,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,68,Homeless Students,All Students
2010-2011,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,165,Homeless Students,All Students
2010-2011,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,41,Homeless Students,All Students
2010-2011,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students
2010-2011,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,359,Homeless Students,All Students
2010-2011,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,105,Homeless Students,All Students
2010-2011,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,326,Homeless Students,All Students
2010-2011,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students
2010-2011,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,89,Homeless Students,All Students
2011-2012,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,222,Homeless Students,All Students
2011-2012,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,300,Homeless Students,All Students
2011-2012,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,207,Homeless Students,All Students
2011-2012,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students
2011-2012,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,32,Homeless Students,All Students
2011-2012,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,26,Homeless Students,All Students
2011-2012,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,249,Homeless Students,All Students
2011-2012,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,93,Homeless Students,All Students
2011-2012,5100330,BATH CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students
2011-2012,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2011-2012,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students
2011-2012,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,162,Homeless Students,All Students
2011-2012,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,275,Homeless Students,All Students
2011-2012,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,86,Homeless Students,All Students
2011-2012,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,51,Homeless Students,All Students
2011-2012,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students
2011-2012,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,50,Homeless Students,All Students
2011-2012,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,181,Homeless Students,All Students
2011-2012,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,838,Homeless Students,All Students
2011-2012,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students
2011-2012,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,88,Homeless Students,All Students
2011-2012,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students
2011-2012,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2011-2012,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,64,Homeless Students,All Students
2011-2012,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students
2011-2012,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2011-2012,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students
2011-2012,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2011-2012,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,44,Homeless Students,All Students
2011-2012,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,2583,Homeless Students,All Students
2011-2012,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students
2011-2012,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,252,Homeless Students,All Students
2011-2012,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students
2011-2012,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students
2011-2012,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students
2011-2012,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2011-2012,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,174,Homeless Students,All Students
2011-2012,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,128,Homeless Students,All Students
2011-2012,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2011-2012,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2011-2012,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2011-2012,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2011-2012,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,67,Homeless Students,All Students
2011-2012,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2011-2012,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,454,Homeless Students,All Students
2011-2012,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students
2011-2012,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,90,Homeless Students,All Students
2011-2012,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,952,Homeless Students,All Students
2011-2012,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,77,Homeless Students,All Students
2011-2012,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students
2011-2012,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,66,Homeless Students,All Students
2011-2012,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,143,Homeless Students,All Students
2011-2012,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2011-2012,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,773,Homeless Students,All Students
2011-2012,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students
2011-2012,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,216,Homeless Students,All Students
2011-2012,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,118,Homeless Students,All Students
2011-2012,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students
2011-2012,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2011-2012,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,32,Homeless Students,All Students
2011-2012,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students
2011-2012,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,156,Homeless Students,All Students
2011-2012,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2011-2012,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students
2011-2012,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,460,Homeless Students,All Students
2011-2012,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,506,Homeless Students,All Students
2011-2012,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,311,Homeless Students,All Students
2011-2012,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,26,Homeless Students,All Students
2011-2012,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,127,Homeless Students,All Students
2011-2012,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,32,Homeless Students,All Students
2011-2012,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,49,Homeless Students,All Students
2011-2012,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,396,Homeless Students,All Students
2011-2012,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students
2011-2012,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students
2011-2012,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,191,Homeless Students,All Students
2011-2012,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2011-2012,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students
2011-2012,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,551,Homeless Students,All Students
2011-2012,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,39,Homeless Students,All Students
2011-2012,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students
2011-2012,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,1493,Homeless Students,All Students
2011-2012,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students
2011-2012,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,491,Homeless Students,All Students
2011-2012,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,67,Homeless Students,All Students
2011-2012,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students
2011-2012,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,74,Homeless Students,All Students
2011-2012,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2011-2012,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students
2011-2012,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students
2011-2012,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students
2011-2012,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,631,Homeless Students,All Students
2011-2012,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,370,Homeless Students,All Students
2011-2012,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,123,Homeless Students,All Students
2011-2012,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,103,Homeless Students,All Students
2011-2012,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students
2011-2012,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2011-2012,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,637,Homeless Students,All Students
2011-2012,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students
2011-2012,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,171,Homeless Students,All Students
2011-2012,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,41,Homeless Students,All Students
2011-2012,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2011-2012,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,431,Homeless Students,All Students
2011-2012,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,142,Homeless Students,All Students
2011-2012,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,305,Homeless Students,All Students
2011-2012,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2011-2012,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,116,Homeless Students,All Students
2012-2013,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,90,Homeless Students,All Students
2012-2013,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,310,Homeless Students,All Students
